22121411051600,41.661094,1.500397,29164.5,17.6,-14.1E
22121411064300,41.664321,1.538543,29422.4,35.0,-13.6E
22121411081000,41.668930,1.574384,28023.5,239.0,-13.0E
22121411093800,41.668937,1.601325,23724.4,22.7,-12.6E
22121411110600,41.667472,1.617991,20552.9,347.1,-12.5E
22121411123400,41.665416,1.628623,17987.5,36.7,-12.7E
011140100,41.662105,1.636689,16028.1,212.8,-13.3E
22121411160200,41.656520,1.646796,13878.1,55.6,-14.5E
22121411172900,41.653705,1.651210,12539.4,67.8,-15.6E
22121411185600,41.653461,1.647388,11321.4,198.8,-16.8E
22121411202400,41.657672,1.642600,10190.9,34.1,-18.2E
22121411215200,41.663261,1.636618,9138.7,193.9,-19.6E
22121411231900,41.670768,1.632834,8162.1,48.0,-20.7E
22121411244600,41.676460,1.629441,7223.8,45.8,-21.6E
22121411261300,41.681110,1.627205,6261.6,31.9,-22.3E
22121411274000,41.683750,1.624908,5288.2,48.0,-22.5E
22121411290700,41.684696,1.625539,4376.8,26.8,-22.4E
011303300,41.685779,1.619440,3565.1,163.0,-21.9E
22121411324300,41.692493,1.610726,2392.6,15.0,-20.4E
22121411341000,41.693790,1.605612,1648.1,7.6,-18.5E
22121411362100,41.692062,1.606922,605.3,-0.5,-15.5E
22121411374700,41.692089,1.606944,597.8,-0.1,-11.9E
22121411391300,41.692111,1.606916,591.1,-0.2,-8.8E
22121411452700,41.692111,1.606936,594.7,-0.4,-1.6E
011504300,41.692081,1.606904,593.4,-0.3,1.3E
22121411565800,41.692085,1.606861,588.8,-0.4,3.7E
22121412000000,41.692047,1.606861,584.5,-0.1,4.6E
22121412061300,41.692100,1.606820,589.4,0.0,6.0E
22121412084300,41.692050,1.606842,594.3,-0.2,6.4E
22121412151000,41.692073,1.606769,575.7,-0.2,7.1E
22121412173700,41.692043,1.606785,576.5,0.0,7.3E
22121412193500,41.692031,1.606781,600.9,-0.1,7.4E
22121412261100,41.692039,1.606823,599.8,-0.2,7.9E
012280000,41.692081,1.607210,589.2,0.0,8.0E
012343800,41.693485,1.607042,574.8,-0.2,8.6E
22121412362600,41.693527,1.607127,553.5,-0.3,9.0E
22121412381900,41.693576,1.607027,559.0,0.1,9.3E
22121412402700,41.693592,1.607057,553.6,-0.1,9.8E
22121412425800,41.693603,1.607060,548.4,-0.3,10.1E
22121412442300,41.693603,1.607058,548.0,-0.6,10.4E
