10.26	5.38	5.38	8.40	100846.00
10.26	4.89	5.38	8.40	100839.00
10.26	5.38	5.38	8.50	100849.00
10.26	4.89	5.38	8.50	100853.00
10.26	4.89	5.38	8.50	100844.00
10.26	4.89	5.38	8.50	100859.00
10.26	4.89	5.38	8.50	100856.00
10.26	4.89	5.38	8.60	100851.00
10.26	4.89	5.38	8.60	100853.00
10.75	4.89	5.38	8.60	100857.00
10.75	4.89	5.38	8.60	100854.00
10.75	4.89	5.38	8.70	100848.00
10.75	4.89	5.38	8.70	100853.00
11.24	4.89	5.38	8.70	100853.00
10.75	4.89	5.38	8.70	100852.00
10.75	4.89	5.38	8.70	100846.00
10.75	4.89	5.87	8.80	100834.00
10.75	4.89	5.38	8.80	100855.00
10.75	4.89	5.87	8.80	100844.00
10.75	4.89	5.87	8.90	100847.00
10.75	4.89	5.87	8.90	100850.00
10.75	4.89	5.87	8.90	100850.00
10.75	4.89	5.87	8.90	100843.00
11.24	4.89	5.87	9.00	100852.00
11.24	4.89	5.87	9.00	100853.00
10.75	4.89	5.87	9.00	100860.00
10.75	4.89	5.87	9.00	100847.00
10.75	4.89	5.87	9.00	100844.00
10.75	4.89	5.87	9.10	100844.00
11.24	4.89	5.87	9.10	100850.00
11.24	4.89	5.87	9.10	100848.00
10.75	4.89	5.87	9.10	100854.00
10.75	4.89	5.87	9.20	100838.00
10.75	4.89	5.87	9.20	100844.00
10.75	4.89	5.87	9.20	100828.00
11.24	5.38	5.87	9.20	100847.00
11.24	5.38	5.38	9.30	100861.00
11.24	5.38	5.87	9.30	100862.00
10.75	5.38	5.87	9.30	100848.00
11.24	5.38	5.38	9.30	100851.00
11.24	5.38	5.38	9.40	100865.00
11.24	5.38	5.38	9.40	100853.00
11.24	5.38	5.38	9.40	100847.00
11.24	4.89	5.38	9.40	100853.00
11.24	5.38	5.38	9.50	100855.00
11.24	4.89	5.38	9.50	100848.00
11.24	4.89	5.38	9.50	100862.00
11.24	5.38	5.38	9.50	100844.00
11.24	4.89	5.38	9.50	100838.00
11.24	4.89	5.38	9.60	100854.00
11.24	4.89	5.38	9.60	100866.00
11.24	4.89	5.38	9.60	100861.00
11.24	4.89	5.38	9.60	100854.00
11.73	4.89	5.38	9.70	100863.00
11.24	4.89	5.38	9.70	100856.00
11.73	4.89	5.38	9.70	100856.00
11.73	4.89	5.87	9.80	100858.00
11.73	4.89	5.87	9.80	100860.00
11.73	4.89	5.87	9.80	100858.00
11.73	4.89	5.87	9.90	100859.00
11.73	4.89	5.87	9.90	100856.00
11.73	4.89	5.87	9.90	100846.00
11.73	4.89	5.87	9.90	100854.00
11.73	4.89	5.87	9.90	100846.00
11.73	4.89	5.87	10.00	100868.00
11.73	4.89	5.38	10.00	100856.00
11.73	4.89	5.87	10.00	100863.00
11.73	4.89	5.38	10.00	100866.00
11.73	4.89	5.38	10.10	100855.00
11.73	4.89	5.38	10.10	100864.00
11.73	4.89	5.38	10.10	100844.00
11.73	4.89	5.38	10.10	100851.00
11.73	4.89	5.38	10.10	100850.00
11.73	4.89	5.38	10.20	100854.00
11.73	4.89	5.38	10.20	100853.00
11.73	4.89	5.38	10.30	100857.00
11.73	5.38	5.38	10.30	100861.00
11.73	4.89	5.38	10.30	100858.00
11.73	4.89	5.38	10.30	100860.00
11.73	4.89	5.38	10.40	100869.00
11.73	4.89	5.38	10.40	100856.00
11.73	4.89	5.38	10.40	100862.00
11.73	4.89	5.38	10.40	100862.00
11.73	4.89	5.38	10.50	100865.00
11.73	4.89	5.38	10.50	100856.00
11.73	4.89	5.38	10.50	100853.00
11.73	4.89	5.38	10.50	100864.00
11.73	4.89	5.38	10.50	100868.00
11.73	4.89	5.38	10.50	100864.00
11.73	4.89	5.38	10.60	100868.00
11.73	4.89	5.38	10.60	100871.00
11.73	4.89	5.38	10.60	100855.00
11.73	4.89	5.38	10.70	100862.00
11.73	4.89	5.38	10.70	100864.00
11.73	4.89	5.38	10.70	100861.00
11.73	4.89	5.38	10.70	100864.00
11.73	4.89	5.38	10.80	100867.00
11.73	4.89	5.38	10.80	100861.00
11.73	4.89	5.87	10.80	100855.00
11.73	4.89	5.87	10.80	100860.00
12.22	4.89	5.87	10.90	100857.00
12.22	4.89	5.87	10.90	100850.00
12.22	4.89	5.87	10.90	100858.00
12.22	4.89	5.87	10.90	100852.00
12.22	4.89	5.87	10.90	100867.00
12.71	4.89	5.87	11.00	100866.00
12.71	4.89	5.87	11.00	100861.00
12.22	4.89	5.87	11.00	100856.00
12.71	4.89	5.87	11.10	100865.00
12.22	4.89	5.87	11.10	100858.00
12.22	4.89	5.87	11.10	100845.00
12.71	4.89	5.87	11.10	100854.00
12.22	5.38	5.87	11.10	100848.00
12.71	5.38	5.87	11.20	100854.00
12.71	5.38	5.38	11.20	100848.00
12.22	4.89	5.38	11.20	100861.00
12.22	4.89	5.38	11.30	100856.00
12.22	5.38	5.38	11.30	100862.00
12.22	4.89	5.38	11.30	100854.00
12.71	4.89	5.38	11.40	100861.00
12.71	4.89	5.38	11.40	100864.00
12.71	4.89	5.38	11.40	100851.00
12.71	4.89	5.38	11.40	100864.00
12.22	4.89	5.38	11.40	100862.00
12.71	4.89	5.38	11.50	100860.00
12.71	4.89	5.38	11.50	100857.00
12.71	4.89	5.38	11.50	100860.00
12.71	4.89	5.38	11.50	100861.00
12.71	4.89	5.38	11.50	100866.00
12.71	4.89	5.38	11.50	100859.00
12.71	4.89	5.38	11.60	100859.00
12.71	4.89	5.38	11.60	100873.00
12.71	4.89	5.38	11.60	100861.00
12.71	4.89	5.38	11.60	100865.00
